iter	Logloss
0	0.5840006714
1	0.4966574402
2	0.4267647705
3	0.3765338745
4	0.3284335327
5	0.2864703979
6	0.2496529541
7	0.2170135803
8	0.1904305878
9	0.1686758423
10	0.1545304413
11	0.1363591614
12	0.1170854797
13	0.105834938
14	0.09418933105
15	0.08481369781
16	0.07893840027
17	0.07352430725
18	0.06632997131
19	0.06082971573
20	0.05621579742
21	0.05092938232
22	0.04517367935
23	0.0416380806
24	0.03868817902
25	0.03618130493
26	0.03342452621
27	0.0316544075
28	0.02910251617
29	0.02734210968
30	0.02596088982
31	0.02463195038
32	0.02357562637
33	0.02229296112
34	0.02119632721
35	0.01983118057
36	0.01910282135
37	0.01784713173
38	0.0170943222
39	0.01638473129
40	0.01570438194
41	0.01474789143
42	0.01393881226
43	0.01319595337
44	0.01259850216
45	0.01192821693
46	0.01143202591
47	0.01115570641
48	0.01072058868
49	0.01047344017
50	0.009985988617
51	0.009646247864
52	0.009284795761
53	0.009113613129
54	0.008883239746
